NOMBRE;CAPITAL;BANDERA;POBLACION;MAPA
PUERTO RICO;SAN JUAN;https://thumb7.shutterstock.com/thumb_large/1764551/182651771/stock-vector-puerto-rico-flag-182651771.jpg;3 194 000 000;https://espanol.mapsofworld.com/wp-content/uploads/2013/12/mapa-de-puerto-rico.jpg
REINO UNIDO;LONDRES;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/reino-unido_250.jpg;65 893 000;https://previews.123rf.com/images/dikobrazik/dikobrazik1710/dikobrazik171000407/88221519-mapa-de-reino-unido-ilustraci%C3%B3n-vectorial-detallada.jpg
REP�BLICA CENTROAFRICANA;BANGUI;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/Central-Africa-Republica_250.jpg;5 048 000;https://images.mapsofworld.com/wp-content/uploads/2015/06/central-african-republic-political-map.jpg
REP�BLICA CHECA;PRAGA;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/republica-checa_250.jpg;10 573 000;https://i.pinimg.com/originals/df/13/19/df131954e7d69f04f666c193ba4f4104.jpg
REP�BLICA DE MACEDONIA;SKOPJE;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/macedonia_250.jpg;4 920 000;https://espanol.mapsofworld.com/wp-content/uploads/2013/12/macedonia-mapa.jpg
REP�BLICA DEL CONGO;BRAZZAVILLE;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/Rep_democratica_congo_250.jpg;74 185 000;https://i.pinimg.com/originals/03/93/71/039371b8f063cdd4eb7a9dac0582b20d.gif
REP�BLICA DEMOCR�TICA DEL CONGO;KINSHASA;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/Rep_democratica_congo_250.jpg;4 920 000;https://espanol.mapsofworld.com/wp-content/uploads/2012/10/mapa-de-la-republica-democr%C3%A1tica-del-congo.jpg
REP�BLICA DOMINICANA;SANTO DOMINGO;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/dominicana-republica_250.jpg;10 123 000;https://espanol.mapsofworld.com/wp-content/uploads/2013/12/mapa-republica-dominicana.jpg
REP�BLICA SAHARAUI;EL AAI�N;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/dominicana-republica_250.jpg;10 073 000;https://www.mapsofworld.com/western-sahara/maps/western-sahara-political-map.jpg
RUANDA;KIGALI;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/ruanda_250.jpg;11 772 000;https://www.mapsofworld.com/rwanda/maps/rwanda-political-map.jpg
RUMANIA;BUCAREST;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/rumania_250.jpg;19 659 000;https://espanol.mapsofworld.com/wp-content/uploads/2013/12/mapa-de-rumania.jpg
RUSIA;MOSC�;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/rusia_250.jpg;146 823 000;https://images.mapsofworld.com/wp-content/uploads/2011/09/rusia-mapa-politico.jpg
SAMOA;APIA;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/samoa_250.jpg;196 000;https://www.ecured.cu/images/thumb/c/c4/Samoa-mapa.JPG/250px-Samoa-mapa.JPG 
SAN CRIST�BAL Y NIEVES;BASSETERRE;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/sancristobal-nieves_250.png;46 000.;https://i.pinimg.com/originals/4f/04/d0/4f04d00c3e5d649512c4562a258d7eaf.jpg 
SAN MARINO;CIUDAD DE SAN MARINO;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/san-marino_250.jpg;33 000;https://images.mapsofworld.com/wp-content/uploads/2014/08/san-marino-political-Map.jpg 
SAN VICENTE Y LAS GRANADINAS;KINGSTOWN;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/san-vicente_250.jpg;110 000;https://i.pinimg.com/originals/2c/bc/5e/2cbc5e48b5ce221c51652aface569ce8.jpg 
SANTA LUCIA;CASTRIES;http://www.bandetex.com/resources/archivosbd/productos_galeria/f6bfb4bbf602ccc0ce89edf3ef32b224.jpg;173 000;https://i.pinimg.com/originals/66/ba/22/66ba22d89dafda495f51ecec50ac7490.jpg 
SANTO TOM� Y PR�NCIPE;SANTO TOM�;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/san-vicente_250.jpg;201 000;https://i.pinimg.com/originals/65/fb/a2/65fba2f6ab0df50abc8291fbe7d6bc80.jpg 
SENEGAL;DAKAR;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/senegal_250.jpg;15 029 000;https://www.mapsofworld.com/senegal/maps/senegal-map.jpg
SERBIA;BELGRADO;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/serbia_250.jpg;7 056 000;https://images.mapsofworld.com/wp-content/uploads/2014/08/Serbia-political-map.jpg
SEYCHELLES;VICTORIA;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/seychelles_250.jpg;97 000;https://espanol.mapsofworld.com/wp-content/uploads/2013/12/islas-seychelles-mapa.jpg
SIERRA LEONA;FREETOWN;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/sierra-leone_250.jpg;7 323 000;https://i.pinimg.com/236x/73/5c/df/735cdf1dad2d48c2e251d73231baeb55--sierra-leona-leone.jpg
SINGAPUR;SINGAPUR;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/singapur_250.jpg;5 644 000;https://images.mapsofworld.com/wp-content/uploads/2014/12/singapur-mapa-pol%C3%ADtico.jpg
SIRIA;DAMASCO;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/Siria_250.jpg;24 136 000;https://espanol.mapsofworld.com/wp-content/uploads/2013/12/mapa-de-siria.jpg
SOMALIA;MOGADISCIO;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/somalia_250.jpg;13 095 000;https://www.mapsofworld.com/somalia/maps/somalia-political-map.jpg
SRI LANKA;COLOMBO;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/sri-lanka_250.jpg;21 337 000;https://images.mapsofworld.com/wp-content/uploads/2014/12/sri-lanka-mapa-politico.jpg
SUAZILANDIA;MBABANE;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/suazilandia_250.jpg;1 139 000;https://www.mapsofworld.com/swaziland/maps/map-of-swaziland.jpg
SUD�FRICA;PRETORIA, CIUDAD DEL CABO, BLOEMFONTEIN;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/sudafrica_250.jpg;56 084 000.;https://espanol.mapsofworld.com/wp-content/uploads/2012/09/mapa-de-sud%C3%A1frica.gif
SUD�N DEL NORTE;JARTUM;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/sudan_250.jpg;13 657 000;https://www.infolaso.com/images/stories/banderas/sudandelnortemapa.gif
SUD�N DEL SUR;YUBA;https://www.ripleybelieves.com/img/world-facts-2018/what-do-colors-and-symbols-of-flag-of-south-sudan-mean.jpg;40 197 000;https://www.eda.admin.ch/content/dam/eda/img/Laenderkarten/South_Sudan_Landersite_es_Map_web.jpg/_jcr_content/renditions/cq5dam.thumbnail.588.368.png
SUECIA;ESTOCOLMO;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/suecia_250.jpg;9 977 000;https://espanol.mapsofworld.com/wp-content/uploads/2013/12/mapa-de-suecia.jpg
SUIZA;BERNA;https://www.lifeder.com/wp-content/uploads/2017/08/bandera-de-suiza-1280x720.jpg;8 402 000;https://images.mapsofworld.com/wp-content/uploads/2013/05/switzerland-political.jpg
SURINAM;PARAMARIBO;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/surinam_250.jpg;570 000;https://viajeaamerica.com/wp-content/uploads/2014/05/suriname.jpg
TAILANDIA;BANGKOK;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/tailandia_250.jpg;67 526 000;https://espanol.mapsofworld.com/wp-content/uploads/2013/12/tailandia-mapa.jpg
TAIWAN;TAIPEH;https://www.geoenciclopedia.com/wp-content/uploads/2018/10/china.jpg;23 078 000 000;https://images.mapsofworld.com/wp-content/uploads/2014/12/taiwan-mapa-pol%C3%ADtico.jpg 
TANZANIA;DODOMA;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/tanzania_250.jpg;50 869 000;https://www.mapsofworld.com/tanzania/maps/tanzania-political-map.jpg
TAYIKIST�N;DUSAMB�;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/tajikistan_250.jpg;8 747 000;https://thumbs.dreamstime.com/z/la-rep%C3%BAblica-de-tayikist%C3%A1n-mapa-del-vector-99635383.jpg
TIMOR ORIENTAL;DILI;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/timor-oriental_250.jpg;1 221 000;http://www.nanduti.com.py/wp-content/uploads/2016/04/Timor-oriental.jpg
TOGO;LOM�;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/Togo_250.jpg;Togo;https://www.mapsofworld.com/togo/maps/togo-political-map.jpg
TONGA;NUKU'ALOFA;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/Tonga_250.jpg;100 000;https://www.mapsofworld.com/tonga/maps/tonga-political-map.jpg
TRINIDAD Y TOBAGO;PUERTO ESPA�A;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/trinidad-tobago_250.jpg;1 357 000;https://thumbs.dreamstime.com/z/mapa-pol%C3%ADtico-de-trinidad-tobago-104478506.jpg
T�NEZ;T�NEZ;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/tunez_250.jpg;11 334 000;https://previews.123rf.com/images/rusak/rusak0809/rusak080900131/3524723-resumen-de-vectores-de-color-mapa-de-t%C3%BAnez-pa%C3%ADs.jpg
TURKMENIST�N;ASJABAD;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/Turmequistan_250.jpg;4 996 000;https://thumbs.dreamstime.com/z/turkmenist%C3%A1n-mapa-de-un-pa%C3%ADs-84721863.jpg
TURQU�A;ANKARA;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/turquia_250.jpg;79 806 000;https://espanol.mapsofworld.com/wp-content/uploads/2013/12/turquia-mapa.jpg
TUVALU;FUNAFUTI;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/Tuvalu_250.jpg;10 000;https://previews.123rf.com/images/peterhermesfurian/peterhermesfurian1607/peterhermesfurian160700059/59848829-mapa-pol%C3%ADtico-con-el-capital-funafuti-tuvalu-y-pueblos-importantes-anteriormente-conocido-como-las-isl.jpg
UCRANIA;KIEV;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/ucrania_250.jpg;42 594 000;https://espanol.mapsofworld.com/wp-content/uploads/2013/12/mapa-de-ucrania.jpg
UGANDA;KAMPALA;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/Uganda_250.jpg;37 151 000;https://www.mapsofworld.com/uganda/maps/uganda-political-map.jpg
URUGUAY;MONTEVIDEO;https://sooluciona.com/wp-content/uploads/2019/03/bandera-de-uruguay.jpg;3 487 000;https://espanol.mapsofworld.com/wp-content/uploads/2011/09/mapa-uruguay.jpg
UZBEKIST�N;TASHKENT;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/uzbequistan_250.jpg;32 707 000;https://previews.123rf.com/images/peterhermesfurian/peterhermesfurian1607/peterhermesfurian160700047/63913729-mapa-pol%C3%ADtico-con-uzbekist%C3%A1n-tashkent-capital-de-las-fronteras-nacionales-ciudades-importantes-r%C3%ADos-y-lago.jpg
VANUATU;PORT VILA;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/vanuatu_250.jpg;294 000;https://images.mapsofworld.com/wp-content/uploads/2015/06/vanuatu-map.jpg
VATICANO;CIUDAD DEL VATICANO;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/vaticano_250.jpg;825;https://www.estaentumundo.com/wp-content/imagenes/mapa_vaticano.png
VENEZUELA;CARACAS;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/venezuela_250.jpg;31 236 000;https://espanol.mapsofworld.com/wp-content/uploads/2011/09/mapa-de-venezuela.jpg
VIETNAM;HANOI;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/vietnam_250.jpg;93 201 000;https://espanol.mapsofworld.com/wp-content/uploads/2013/12/mapa-de-vietnam.jpg
YEMEN;SAN�;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/yemen_250.jpg;27 943 000;https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Governorates_of_Yemen_named.svg/420px-Governorates_of_Yemen_named.svg.png
YIBUTI;YIBUTI;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/djibouti_250.jpg;1 006 000;https://www.mapsofworld.com/djibouti/maps/djibouti-political-map.jpg
ZAMBIA;LUSAKA;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/zambia_250.jpg;16 170 000;https://images.mapsofworld.com/wp-content/uploads/2015/04/zambia-pol%C3%ADtico-mapa.jpg
ZIMBABUE;HARARE;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/zimbawe_250.jpg;13 741 000;https://previews.123rf.com/images/pavalena/pavalena1405/pavalena140500014/29418244-rep%C3%BAblica-de-zimbabwe-mapa-vectorial.jpg
